NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,440.63601087146924
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,470.4556460422525
b38a03232f43b11c9d0788abaf060f7366053b6d,409.3010419735876
70b682d9a3636be23f6120fa9d6b164eb3c6002d,277.48555265640084
715494628a50142ce8cb17191cfe6d0f3cae0934,466.0612724240965
e656d6bad65c93fb2880f1eba5037008c8e75774,520.5895407943896
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,533.390503073898
11539e86171bf07d3a36f09377d7f54ebcc8406a,409.85097140215055
043c544a2104aa8a9849f1a703a08d37a2f16839,524.0117466383188
76ba050e64ad100b856f0eaabd8f539d5c7dd185,492.973146154024
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,279.8435991799937
db4da599aab5bb08dce27094a35fd3e36cd0abce,301.9942733482138
940aede382ccb332fab15d413217695ec44ca765,507.5538290158211
9ad714b116da76d878dd399d187fccc2dd13dd63,512.2069380417474
dd34464a4d780b12a089347ad580418ac57a3055,495.6163482351111
f837a4cb05a5fd59d20138182f5e8c721eadd584,496.12027983897576
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,305.31458134279353
ca8477c8493b09f34d17bb287f9bacf2dd744c32,309.82425976811885
8b0c675d7fde14953668269d378c588f0df0498b,301.55943787120043
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,417.9887797355777
3d203727f27abd83b71732d88d8cb1cc099f363b,475.3789992316508
d30d31c8ff45094e9a992c63d4a6f68b245a341a,347.3351316512249
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,270.9992518020113
cbc301183dec912f3513ca766bf03dd565f3a38f,455.24213489264605
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,516.5132512020145
11282da1ee78c8db45a041db4c744e33df489df0,467.76981758769335
03c67f683a415c2ea09b582248bd4cb08528c19d,565.7985248372868
046e844fb06a07ba30b41521f0065a8d9c6e5024,429.79164159294965
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,457.29988746005733
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,332.5446199733043
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,291.7981058016288
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,505.94887129137237
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,510.76306435175354
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,497.33823980027057
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,567.9152070478809
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,469.05100062367615
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,480.0819593040199
59bfa081e020013410d9f60f91813964ba749bb2,484.16449408568064
f5e069ee3bc95998464e8ff5da048b7f999921ed,436.80093701812086
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,539.176634961301
664f44258212a1f7e4086f2b4845d586c543fa3f,470.3019227173322
265cd7befa74a9f2a198fc57baec9858075f8419,494.82451239606587
6f9ac44919bbd204e0ef15185388fd2d4bc61253,492.500633931072
78de1ee60b55766cc3eba4089e36c57139b66ebd,469.28001407606513
24550edb10f283ef4e953fd6a8fedbfa211bd456,275.5941136564471
1e61a474acdc043eb39a89c17fab34bd2ea1a940,448.05726685797333
940af68ded6af2875708611051aa7ff3f134d80b,462.7181446015026
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,461.9620636147502
c76ddf6e9f80984e901b12f9462a3cf029bea290,586.8729218893777
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,468.85117807531833
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,324.71463355339927
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,301.65078806441426
92823d467a2ced9529801e0e8a94802dd88f0c17,428.85564658485424
